"";"BE";"CDS.PP";"PCP.PEV";"PPD.PSD";"PS";"changes";"BE";"CDS.PP";"PCP.PEV";"PPD.PSD";"PS"
"53";Pacos de Ferreira;5;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"54";Penafiel;5;1;4;1;3;PS : { CDS.PP };5;3;4;1;2
"55";Resende;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"56";Alijo;5;3;4;1;2;PCP.PEV : { CDS.PP };5;4;3;1;2
"57";Armamar;5;2;4;1;3;PCP.PEV : { CDS.PP ^ PS }  ^  PS : { CDS.PP };5;4;2;1;3
"58";Carrazeda de Ansiaes;5;2;4;1;3;PCP.PEV : { CDS.PP ^ PS }  ^  PS : { CDS.PP };5;4;2;1;3
"59";Lamego;5;1;4;1;3;PS : { CDS.PP ^ PPD.PSD };-1;-3;-2;-4;-5
"60";Mesâ o Frio;5;3;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;3;1;2
"61";Moimenta da Beira;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"62";Murca;5;3;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"63";Penedono;5;3;4;1;2;PCP.PEV : { CDS.PP };5;4;3;1;2
"64";Peso da Regua;4;4;3;1;2;PCP.PEV : { PPD.PSD ^ PS };5;4;1;2.5;2.5
"65";Sabrosa;4;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"66";Santa Marta de Penaguiâ o;5;3;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;3;1;2
"67";Sao Joao da Pesqueira;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;2;1;3
"68";Sernancelhe;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;2;1;3
"69";Tabuaco;5;1;4;1;3;PCP.PEV : { CDS.PP ^ PS }  ^  PS : { CDS.PP };5;4;2;1;3
"70";Tarouca;4;3;5;1;2;PCP.PEV : { BE ^ CDS.PP };5;4;3;1;2
"71";Torre de Moncorvo;5;1;4;1;3;PCP.PEV : { CDS.PP ^ PPD.PSD ^ PS }  ^  PS : { CDS.PP };5;4;1;2;3
"72";Vila Nova de Foz Coa;4;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"73";Vila Real;5;3;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"74";Alfandega da Fe;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"75";Braganca;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PPD.PSD ^ PS };5;4;1;2.5;2.5
"76";Macedo de Cavaleiros;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;2;1;3
"77";Miranda do Douro;5;3;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"78";Mirandela;5;3;4;1;2;CDS.PP : { PS }  ^  PCP.PEV : { CDS.PP ^ PS };5;3;1.5;1.5;4
"79";Mogadouro;5;3;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"80";Vila Flor;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"81";Vimioso;4;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"82";Vinhais;4;2;3;4;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { CDS.PP ^ PCP.PEV ^ PS };5;4;2;1;3
"83";AlcobaÂa;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PPD.PSD ^ PS };5;4;1;2.5;2.5
"84";Arruda dos Vinhos;5;4;3;2;1;PCP.PEV : { PPD.PSD ^ PS };5;4;1;2.5;2.5
"85";Bombarral;5;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"86";Cadaval;5;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"87";Caldas da Rainha;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;2;1;3
"88";Lourinha;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PPD.PSD ^ PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"89";Nazare;5;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"90";Obidos;5;4;3;1;2;PCP.PEV : { PPD.PSD ^ PS };5;4;1;2;3
"91";Peniche;5;4;1;3;2;PPD.PSD : { PS };5;4;1.5;1.5;3
"92";Sobral de Monte AgraÂo;5;3;1;3;2;CDS.PP : { PCP.PEV }  ^  PPD.PSD : { PCP.PEV ^ PS }  ^  PS : { PCP.PEV };5;3;4;1;2
"93";Torres Vedras;5;4;3;2;1;CDS.PP : { PCP.PEV };-1;-3;-2;-4;-5
"94";Agueda;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"95";Albergaria-a-Velha;5;1;4;2;3;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { CDS.PP }  ^  PS : { CDS.PP };5;4;2;1;3
"96";Anadia;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;2;1;3
"97";Aveiro;4;1;5;1;3;PCP.PEV : { BE ^ CDS.PP }  ^  PS : { CDS.PP };5;4;3;1.5;1.5
"98";Estarreja;5;1;4;1;3;PCP.PEV : { CDS.PP ^ PS }  ^  PS : { CDS.PP };5;4;2;1;3
"99";Ilhavo;5;3;4;1;2;PCP.PEV : { CDS.PP };5;4;3;1;2
"100";Murtosa;5;3;4;1;2;PCP.PEV : { CDS.PP };5;4;3;1;2
"101";Oliveira do Bairro;5;2;4;1;3;PCP.PEV : { CDS.PP }  ^  PS : { CDS.PP };5;4;3;1;2
"102";Ovar;4;5;3;1;2;CDS.PP : { BE }  ^  PCP.PEV : { PS };5;4;2;1;3
"103";Sever do Vouga;5;3;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"104";Vagos;5;2;4;1;3;PCP.PEV : { CDS.PP }  ^  PS : { CDS.PP };5;4;3;1;2
"105";Arganil;4;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"106";Cantanhede;5;4;3;1;2;PCP.PEV : { PPD.PSD ^ PS };5;4;1;2;3
"107";Coimbra;5;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"108";Condeixa-a-Nova;3;5;4;2;1;CDS.PP : { BE ^ PCP.PEV }  ^  PCP.PEV : { BE };-1;-3;-2;-4;-5
"109";Figueira da Foz;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PPD.PSD ^ PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"110";Gois;4;2;3;4;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { CDS.PP ^ PCP.PEV ^ PS };5;4;3;1;2
"111";Lousa;4;2;5;2;1;PCP.PEV : { BE };-1;-3;-2;-4;-5
"112";Mealhada;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"113";Mira;5;4;3;1;2;PCP.PEV : { PPD.PSD ^ PS };5;4;1;2;3
"114";Miranda do Corvo;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"115";Montemor-o-Velho;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"116";MortËgua;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;2;1;3
"117";Oliveira do Hospital;5;3;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;3;1;2
"118";Pampilhosa da Serra;4;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"119";Penacova;5;2;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;3;1;2
"120";Penela;5;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"121";Soure;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"122";TËbua;5;2;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;3;1;2
"123";Vila Nova de Poiares;5;4;3;2;1;PPD.PSD : { PS };5;4;3;1;2
"124";AlvaiËzere;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;2;1;3
"125";Ansiâ o;5;3;4;1;2;PCP.PEV : { CDS.PP };5;4;2.5;1;2.5
"126";Batalha;5;3;4;1;2;PS : { PPD.PSD };-1;-3;-2;-4;-5
"127";Castanheira de PÂra;5;3;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"128";Figueiro dos Vinhos;5;3;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"129";Marinha Grande;4;5;2;3;1;CDS.PP : { BE }  ^  PCP.PEV : { PS }  ^  PPD.PSD : { PCP.PEV ^ PS };5;4;2;1;3
"130";Pedrogao Grande;4;4;3;1;2;PCP.PEV : { PS };5;4;2;1;3
"131";Porto de Mos;5;3;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;2.5;1;2.5
"132";Carregal do Sal;5;3;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"133";Castro Daire;5;3;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;2.5;1;2.5
"134";Mangualde;5;2;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;3;1;2
"135";Nelas;5;2;4;2;1;PCP.PEV : { CDS.PP }  ^  PPD.PSD : { PS };5;4;3;1;2
"136";Oliveira de Frades;4;1;5;1;3;PCP.PEV : { BE ^ CDS.PP }  ^  PS : { CDS.PP };5;4;3;1;2
"137";Penalva do Castelo;5;2;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"138";Santa Comba Dao;5;3;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"139";Sao Pedro do Sul;3;5;4;2;1;CDS.PP : { BE }  ^  PCP.PEV : { BE }  ^  PPD.PSD : { PS };5;4;2.5;1;2.5
"140";Tondela;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;2;1;3
"141";Viseu;5;3;4;1;2;PCP.PEV : { CDS.PP ^ PS };5;4;1.5;1.5;3
"142";Vouzela;3;4;5;1;2;CDS.PP : { BE }  ^  PCP.PEV : { BE ^ CDS.PP ^ PS };5;4;2;1;3
"143";Castelo Branco;5;4;3;2;1;PCP.PEV : { PPD.PSD ^ PS }  ^  PPD.PSD : { PS };5;4;1;2;3
"144";Idanha-a-Nova;5;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"145";Penamacor;5;3;4;2;1;PCP.PEV : { CDS.PP ^ PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"146";Proenca-a-Nova;4;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
"147";Vila Velha de Rodao;5;4;3;2;1;PCP.PEV : { PS }  ^  PPD.PSD : { PS };5;4;2;1;3
