Sup;Conf;Lift;Conv;Chi2;Lapl;Leve;Jacc;Cosi;Phi;MI;WRA;Entp;Gini;Cons;Ant
0.037037037037037035;1.0;5.869565217391305;  +oo   ;25.28428093645485;0.8571428571428571;0.03072702331961591;0.21739130434782608;0.4662524041201569;0.4327712674146304;1.8467994654960413;0.03072702331961591;0.06920697189424285;0.026472512398438397;L1>L3, L3>L2;A3=7  &  A1=3
0.02962962962962963;1.0;5.869565217391305;  +oo   ;20.07301692665118;0.8333333333333334;0.02458161865569273;0.17391304347826086;0.41702882811414954;0.3856021450556133;2.420133320778654;0.02458161865569273;0.05473495842688186;0.02101634572089761;L1>L3, L3>L2;A4=11  &  A1=3
0.022222222222222223;1.0;5.869565217391305;  +oo   ;14.940711462450594;0.8;0.01843621399176955;0.13043478260869565;0.3611575592573076;0.33267391956523024;3.441041824166065;0.01843621399176955;0.0405964430555289;0.01564284823544082;L1>L3, L3>L2;A4=11  &  A3=8
0.014814814814814815;1.0;5.869565217391305;  +oo   ;9.88558352402746;0.75;0.012290809327846364;0.08695652173913043;0.29488391230979427;0.2706040365966953;5.62113049035418;0.012290809327846364;0.026772335270490055;0.010350155223449509;L1>L3, L3>L2;A3=8  &  A1=1
0.1259259259259259;0.8095238095238095;4.751552795031056;4.355555555555556;71.87537944239479;0.782608695652174;0.0994238683127572;0.6296296296296297;0.7735267838285931;0.729664455823232;0.4817462781237292;0.09942386831275721;0.20661328790238426;0.07525315345978101;L1>L3, L3>L2;A4=12
0.037037037037037035;1.0;5.625;  +oo   ;24.014423076923073;0.8571428571428571;0.03045267489711934;0.20833333333333334;0.45643546458763845;0.42176369614348674;1.9597199739326148;0.03045267489711934;0.067434557079807;0.02600189933523267;L2>L3, L2>L1;A2=5  &  A4=13
0.037037037037037035;1.0;5.625;  +oo   ;24.014423076923073;0.8571428571428571;0.03045267489711934;0.20833333333333334;0.45643546458763845;0.42176369614348674;1.9597199739326148;0.03045267489711934;0.067434557079807;0.02600189933523267;L2>L3, L2>L1;A2=5  &  A1=3
0.16296296296296298;0.7586206896551724;4.267241379310344;3.406349206349206;85.24650952188364;0.7419354838709677;0.12477366255144035;0.7096774193548387;0.8339078479367937;0.7946418225137831;0.607916558668615;0.12477366255144032;0.27579319006499353;0.09230166188743494;L2>L3, L2>L1;A3=9
0.037037037037037035;1.0;5.625;  +oo   ;24.014423076923073;0.8571428571428571;0.03045267489711934;0.20833333333333334;0.45643546458763845;0.42176369614348674;1.9597199739326148;0.03045267489711934;0.067434557079807;0.02600189933523267;L1>L3, L2>L1;A2=5  &  A4=13
0.037037037037037035;1.0;5.625;  +oo   ;24.014423076923073;0.8571428571428571;0.03045267489711934;0.20833333333333334;0.45643546458763845;0.42176369614348674;1.9597199739326148;0.03045267489711934;0.067434557079807;0.02600189933523267;L1>L3, L2>L1;A2=5  &  A1=3
0.16296296296296298;0.7586206896551724;4.267241379310344;3.406349206349206;85.24650952188364;0.7419354838709677;0.12477366255144035;0.7096774193548387;0.8339078479367937;0.7946418225137831;0.607916558668615;0.12477366255144032;0.27579319006499353;0.09230166188743494;L1>L3, L2>L1;A3=9
0.037037037037037035;1.0;3.13953488372093;  +oo   ;11.10912343470483;0.8571428571428571;0.025240054869684496;0.11627906976744186;0.34099716973523675;0.2868619933348364;4.715107754917178;0.025240054869684496;0.04392063425734627;0.017862192677007505;L1>L2, L1>L3;A3=7  &  A1=3
0.02962962962962963;1.0;3.13953488372093;  +oo   ;8.819456772590094;0.8333333333333334;0.0201920438957476;0.09302325581395349;0.30499714066520933;0.255595988674692;6.167428354461405;0.0201920438957476;0.03487811091903825;0.014180672048922038;L1>L2, L1>L3;A4=11  &  A1=3
0.14814814814814814;0.9523809523809523;2.9900332225913617;14.311111111111094;46.03090290184511;0.9130434782608695;0.09860082304526749;0.45454545454545453;0.6655583256397217;0.5839260664885397;0.7475085860282444;0.09860082304526747;0.17135980923831373;0.0740123972482647;L1>L2, L1>L3;A4=12
0.2222222222222222;0.9375;2.943313953488372;10.903703703703703;74.03091009600755;0.9117647058823529;0.14672153635116597;0.6666666666666666;0.8087457990257881;0.7405248894009423;0.5740071244998751;0.14672153635116597;0.28107210471346483;0.11903318816839137;L1>L2, L1>L3;A3=8
0.05185185185185185;0.875;2.7470930232558137;5.451851851851852;12.132008938878847;0.8;0.032976680384087784;0.1590909090909091;0.37741470621203443;0.2997778058505733;2.499288900833587;0.03297668038408779;0.04255493802232457;0.0195068749122409;L1>L2, L1>L3;A1=2  &  A4=13
0.3037037037037037;1.0;3.068181818181818;  +oo   ;121.78070599613154;0.9767441860465116;0.204718792866941;0.9318181818181818;0.9653072991634227;0.9497785550722064;0.8715958950184872;0.204718792866941;0.5328435446622848;0.19818521437118763;L2>L3;A4=13
0.21481481481481482;1.0;3.068181818181818;  +oo   ;76.38614922813035;0.967741935483871;0.14480109739369;0.6590909090909091;0.8118441408859888;0.7522122889289834;0.7196605904292691;0.14480109739369;0.31114044620324827;0.12431037606439421;L2>L3;A3=9
0.25925925925925924;0.7291666666666666;2.2372159090909087;2.4888888888888885;55.12619654052842;0.72;0.1433744855967078;0.6140350877192983;0.761589744806178;0.6390165855410224;0.337663957223866;0.1433744855967078;0.20924233136420126;0.0897120524100089;L2>L3;A1=3
0.2074074074074074;1.0;2.076923076923077;  +oo   ;38.044572250179726;0.9666666666666667;0.1075445816186557;0.4307692307692308;0.6563301233138936;0.5308593470003402;1.0352829841973876;0.10754458161865571;0.18139407426951026;0.07035626834865316;L1>L2;A3=7
