;;Resultados 2017;;;;;diff;changes from 2013;Previsoes;;;;
;Municipios;BE;CDS.PP;PCP.PEV;PPD.PSD;PS;;none;BE;CDS.PP;PCP.PEV;PPD.PSD;PS
76;Vila Nova de Foz Coa;4;4;3;1;2;none;none;1;NA;-1;NA;-1
77;Vila Real;4;3;5;2;1;none;none;1;NA;NA;-1;-1
78;Alfandega da Fe;3;3;2;3;1;none;none;1;NA;-1;NA;-1
79;Braganca;4;3;5;1;2;PCP.PEV : { BE };none;1;NA;-1;NA;-1
80;Macedo de Cavaleiros;3;4;2;4;1;none;none;1;NA;-1;NA;-1
81;Miranda do Douro;3;3;2;3;1;none;none;1;NA;-1;NA;-1
82;Mirandela;5;3;4;2;1;none;none;1;NA;-1;NA;-1
83;Mogadouro;3;3;2;3;1;none;none;1;NA;-1;NA;-1
84;Vila Flor;2;4;3;4;1;PCP.PEV : { BE };none;1;NA;-1;NA;-1
85;Vimioso;4;4;3;1;2;none;none;1;NA;-1;NA;-1
86;Vinhais;3;3;2;3;1;none;none;1;NA;-1;NA;-1
87;Alcobaí‰Œça;5;3;4;1;2;none;none;1;NA;-1;NA;-1
88;Alenquer;3;4;2;4;1;PPD.PSD : { BE };none;1;NA;NA;-1;-1
89;Arruda dos Vinhos;5;4;3;2;1;none;none;1;NA;-1;NA;-1
90;Bombarral;3;3;2;3;1;none;none;1;NA;-1;NA;-1
91;Cadaval;5;4;3;1;2;none;none;1;NA;-1;NA;-1
92;Caldas da Rainha;4;3;5;1;2;PCP.PEV : { BE };none;1;NA;-1;-1;NA
93;Lourinha;4;4;3;2;1;none;none;1;NA;-1;NA;-1
94;Nazare;4;5;3;2;1;none;none;1;NA;NA;-1;-1
95;Obidos;4;5;3;1;2;none;none;1;NA;-1;NA;-1
96;Peniche;5;4;3;1;2;none;none;1;NA;-1;NA;-1
97;Sobral de Monte Agraí‰Œço;3;3;1;3;2;none;none;1;NA;NA;-1;-1
98;Torres Vedras;3;4;2;4;1;none;none;1;NA;-1;NA;-1
99;Agueda;5;3;4;2;1;none;none;1;NA;-1;NA;-1
100;Albergaria-a-Velha;5;1;4;2;3;none;none;1;NA;-1;NA;-1
101;Anadia;4;2;3;1;4;none;none;1;NA;-1;NA;-1
102;Aveiro;2;4;3;4;1;PPD.PSD : { BE };none;1;NA;NA;-1;-1
103;Estarreja;3;3;2;3;1;none;none;1;NA;NA;-1;-1
104;Ilhavo;3;5;4;1;2;PCP.PEV : { BE };none;1;NA;-1;NA;-1
105;Murtosa;5;3;4;1;2;none;none;1;NA;-1;NA;-1
106;Oliveira do Bairro;4;1;3;2;4;none;none;1;NA;-1;NA;-1
107;Ovar;5;3;4;1;2;none;none;1;NA;-1;-1;NA
108;Sever do Vouga;5;3;4;2;1;none;none;1;NA;-1;NA;-1
109;Vagos;5;2;4;1;3;none;none;1;NA;-1;NA;-1
110;Arganil;4;4;3;1;2;none;none;1;NA;1;NA;-1
111;Cantanhede;5;4;3;1;2;none;none;1;NA;NA;-1;-1
112;Coimbra;3;3;2;3;1;none;none;1;NA;-1;NA;-1
113;Condeixa-a-Nova;3;5;4;2;1;none;none;1;NA;NA;-1;-1
114;Figueira da Foz;4;5;3;2;1;none;none;1;NA;NA;-1;-1
115;Gois;3;3;2;3;1;none;none;1;NA;-1;NA;-1
116;Lousa;3;5;4;2;1;none;none;1;NA;NA;-1;-1
117;Mealhada;2;4;3;4;1;PPD.PSD : { BE };none;1;NA;NA;-1;-1
118;Mira;5;4;3;1;2;none;none;1;NA;-1;NA;-1
119;Miranda do Corvo;3;4;2;4;1;none;none;1;NA;-1;NA;-1
