;;BE;CDS.PP;PCP.PEV;PPD.PSD;PS;changes;BE;CDS.PP;PCP.PEV;PPD.PSD;PS
87;AlcobaÃ‚Âça;5;3;4;1;2;none;1;NA;-1;NA;-1
88;Alenquer;5;2;4;2;1;none;1;NA;NA;-1;-1
89;Arruda dos Vinhos;5;4;3;2;1;none;1;NA;-1;NA;-1
90;Bombarral;5;4;3;1;2;none;1;NA;-1;NA;-1
91;Cadaval;5;4;3;1;2;none;1;NA;-1;NA;-1
92;Caldas da Rainha;5;3;4;1;2;none;1;NA;-1;-1;NA
93;Lourinha;5;2;4;2;1;none;1;NA;-1;NA;-1
94;Nazare;5;4;3;2;1;none;1;NA;NA;-1;-1
95;Obidos;5;4;3;1;2;none;1;NA;-1;NA;-1
96;Peniche;5;4;1;3;2;none;1;NA;-1;NA;-1
97;Sobral de Monte AgraÃ‚Âço;5;3;1;3;2;none;1;NA;NA;-1;-1
98;Torres Vedras;5;4;3;2;1;none;1;NA;-1;NA;-1
99;Agueda;5;2;4;2;1;none;1;NA;-1;NA;-1
100;Albergaria-a-Velha;5;1;4;2;3;none;1;NA;-1;NA;-1
101;Anadia;5;3;4;1;2;none;1;NA;-1;NA;-1
102;Aveiro;4;1;5;1;3;none;1;NA;NA;-1;-1
103;Estarreja;5;1;4;1;3;none;1;NA;NA;-1;-1
104;Ilhavo;5;3;4;1;2;none;1;NA;-1;NA;-1
105;Murtosa;5;3;4;1;2;none;1;NA;-1;NA;-1
106;Oliveira do Bairro;5;2;4;1;3;none;1;NA;-1;NA;-1
107;Ovar;4;5;3;1;2;none;1;NA;-1;-1;NA
108;Sever do Vouga;5;3;4;2;1;none;1;NA;-1;NA;-1
109;Vagos;5;2;4;1;3;none;1;NA;-1;NA;-1
110;Arganil;4;4;3;1;2;none;1;NA;1;NA;-1
111;Cantanhede;5;4;3;1;2;none;1;NA;NA;-1;-1
112;Coimbra;5;4;3;2;1;none;1;NA;-1;NA;-1
