Regions;Votes Total;BE;CDS-PP;CDS-PP-MPT;CDS-PP-MPT-PPM;CDS-PP-PPD/PSD;Grupo de cidad‹os;MPT;PAN;PCP-PEV;PCTP/MRPP;PND;PNR;PPD/PSD;PPD/PSD-CDS-PP;PPD/PSD-CDS-PP-MPT;PPD/PSD-CDS-PP-MPT-PPM;PPD/PSD-CDS-PP-PPM;PPD/PSD-CDS-PP-PPM-MPT;PPD/PSD-MPT;PPD/PSD-MPT-PPM;PPD/PSD-PPM;PPD/PSD-PPM-MPT;PPM;PPM-PPV;PPM-PPV-PND;PPV;PS;PS-BE-PND-MPT-PTP-PAN;PS-PTP-PND-BE;PTP;Ranking;Voters Total;Voters Voting;Voters Abstention;Residents Total;Residents 0-14;Residents 15-64;Residents 65+;Population without Education;Population with High School;Companies Created;Average Monthly Income;Employees per Sector Total;Employees per Sector Agriculture;Employees per Sector Extraction Industries;Employees per Sector Transformation Industries;Employees per Sector Construction;Employees per Sector Gross and Retails Markets;Employees per Sector Administration and Services;Employees per Economic Sector Banks;Employees per Economic Sector Others;Companies Dissolved;Unemployment Total;Unemployment <25
Espinho;17873.0;641.0;460.0;0.0;0.0;0.0;0.0;0.0;0.0;1191.0;0.0;0.0;0.0;8993.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6588.0;0.0;0.0;0.0;a>b>c>d>e;30806.0;19044.0;11762.0;30674.0;3808.0;20252.0;6615.0;2719.0;3867.0;86.0;762.0;7786.0;39.0;0.0;1433.0;379.0;1788.0;550.0;105.0;0.0;42.0;3408.1;459.9
Gondomar;61370.0;2605.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8850.0;0.0;0.0;0.0;0.0;16114.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33801.0;0.0;0.0;0.0;a>b>c>d>e;144199.0;72824.0;71375.0;167771.0;24504.0;116588.0;26679.0;11149.0;23336.0;372.0;749.9;30483.0;352.0;0.0;6585.0;2324.0;8520.0;2662.0;238.0;0.0;169.0;16703.3;2136.7
Maia;51052.0;3412.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4413.0;0.0;0.0;0.0;0.0;28629.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14598.0;0.0;0.0;0.0;a>b>c>d>e;112082.0;57086.0;54996.0;135971.0;22043.0;94274.0;19655.0;6634.0;20416.0;539.0;975.6;57304.0;412.0;15.0;13638.0;3611.0;12012.0;9633.0;341.0;0.0;214.0;11617.4;1244.4
Matosinhos;67445.0;2623.0;1409.0;0.0;0.0;0.0;32014.0;0.0;0.0;5396.0;0.0;0.0;0.0;6869.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18629.0;0.0;0.0;505.0;a>b>c>d>e;150242.0;73754.0;76488.0;175006.0;24472.0;120336.0;30199.0;11185.0;24602.0;702.0;951.8;82426.0;740.0;0.0;8552.0;3783.0;36690.0;9435.0;436.0;5.0;571.0;13237.2;1330.3
Oliveira de Azem_is;32123.0;702.0;2532.0;0.0;0.0;0.0;0.0;0.0;0.0;977.0;0.0;0.0;0.0;14298.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13614.0;0.0;0.0;0.0;b>a>c>d>e;61272.0;34414.0;26858.0;67971.0;8857.0;46770.0;12344.0;5420.0;7358.0;199.0;805.1;26548.0;385.0;51.0;15876.0;1401.0;3379.0;1620.0;142.0;19.0;57.0;3246.1;463.1
Paredes;43739.0;816.0;1721.0;0.0;0.0;0.0;0.0;0.0;0.0;2983.0;0.0;0.0;0.0;19146.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19073.0;0.0;0.0;0.0;b>a>c>d>e;72323.0;46589.0;25734.0;86948.0;15050.0;61399.0;10500.0;6763.0;8205.0;217.0;678.7;21619.0;0.0;0.0;9523.0;2018.0;4483.0;778.0;184.0;18.0;68.0;8583.3;1193.7
Porto;110596.0;4166.0;0.0;0.0;0.0;0.0;46666.0;0.0;0.0;8539.0;343.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24366.0;0.0;0.0;0.0;0.0;26237.0;0.0;0.0;279.0;a>b>c>d>e;219949.0;115698.0;104251.0;224894.0;27470.0;140428.0;56996.0;13814.0;32936.0;1574.0;1089.2;117903.0;1074.0;12.0;8802.0;13022.0;24315.0;11670.0;4602.0;11.0;1356.0;21335.0;2332.1
P—voa de Varzim;27560.0;670.0;4021.0;0.0;0.0;0.0;0.0;0.0;0.0;1054.0;344.0;0.0;0.0;13567.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7904.0;0.0;0.0;0.0;b>a>c>d>e;60035.0;29485.0;30550.0;63141.0;10136.0;43420.0;9585.0;4357.0;7441.0;214.0;734.6;18838.0;1591.0;27.0;3723.0;1745.0;4496.0;876.0;149.0;47.0;160.0;4429.3;634.3
Santa Maria da Feira;64006.0;2792.0;2675.0;0.0;0.0;0.0;0.0;0.0;0.0;2955.0;0.0;0.0;0.0;31019.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24565.0;0.0;0.0;0.0;a>b>c>d>e;125741.0;69667.0;56074.0;140052.0;20891.0;97466.0;21696.0;10799.0;15581.0;438.0;812.1;44944.0;294.0;0.0;20868.0;3823.0;8598.0;2643.0;312.0;14.0;182.0;9783.7;1337.1
Santo Tirso;37391.0;0.0;1409.0;0.0;0.0;0.0;2552.0;0.0;0.0;2455.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13051.0;0.0;0.0;0.0;0.0;0.0;17924.0;0.0;0.0;0.0;b>a>c>d>e;64247.0;39867.0;24380.0;70737.0;9125.0;48838.0;12775.0;5920.0;7599.0;175.0;723.1;20529.0;211.0;29.0;10695.0;1233.0;3963.0;625.0;131.0;0.0;63.0;7025.3;892.7
S‹o Jo‹o da Madeira;9462.0;225.0;296.0;0.0;0.0;0.0;1000.0;0.0;0.0;620.0;0.0;0.0;0.0;3808.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3513.0;0.0;0.0;0.0;b>a>c>d>e;20324.0;10016.0;10308.0;21655.0;3032.0;15032.0;3592.0;1285.0;3037.0;88.0;802.1;12580.0;19.0;0.0;7456.0;188.0;2017.0;560.0;107.0;0.0;36.0;1430.5;203.4
Trofa;21100.0;470.0;0.0;0.0;0.0;0.0;437.0;0.0;0.0;809.0;0.0;0.0;0.0;0.0;10092.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9292.0;0.0;0.0;0.0;a>b>c>d>e;33444.0;22397.0;11047.0;38743.0;5657.0;27576.0;5510.0;2644.0;4714.0;132.0;814.4;15303.0;0.0;0.0;6507.0;1181.0;3234.0;904.0;99.0;0.0;32.0;4042.3;547.8
Vale de Cambra;13080.0;0.0;6382.0;0.0;0.0;0.0;0.0;0.0;0.0;397.0;0.0;0.0;0.0;4683.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1618.0;0.0;0.0;0.0;b>a>c>d>e;22358.0;13884.0;8474.0;22439.0;2710.0;14843.0;4887.0;2458.0;2505.0;43.0;872.1;8086.0;176.0;0.0;4761.0;474.0;1066.0;200.0;58.0;0.0;30.0;864.8;130.0
