0,95;0,1;0,33;0,97;0;35;1
0,92;0,1;0,35;0,92;0;86;2
0,9;0,1;0,36;0,91;0;108;3
0,33;0,1;0,05;0,67;0;229;1
0,18;0,1;0,06;0,47;0;1310;2
0,12;0,1;0,06;0,47;0;1679;3
0,22;0,1;0,06;0,48;0;1700;4
0,97;0,1;0,07;0,99;0;510;1
0,97;0,1;0,07;0,99;0;7188;2
0,44;0,1;0,12;0,18;0;11647;3
0,45;0,1;0,12;0,19;0;15959;4
1;0,1;0,07;1;0;378;1
0,43;0,1;0,13;0,14;0;2999;2
0,37;0,1;0,13;0,07;0;4554;3
0,53;0,1;0,12;0,36;0;5261;4
0,99;0,1;0,1;0,99;0;870;1
0,63;0,1;0,15;0,49;0;5948;2
0,44;0,1;0,19;0,25;0;9154;3
0,46;0,1;0,18;0,26;0;11007;4
0,95;0,1;0,17;0,98;0;3849;1
0,71;0,1;0,23;0,59;0;20266;2
0,68;0,1;0,24;0,56;0;30868;3
0,71;0,1;0,23;0,61;0;36934;4
0,88;0,1;0,33;0,94;0;393;1
0,86;0,1;0,35;0,89;0;1257;2
0,71;0,1;0,42;0,69;0;1518;3
