;Total;BE;CDS-PP;CDS-PP-MPT;CDS-PP-MPT-PPM;CDS-PP-PPD/PSD;Grupo de cidadãos;MPT;PAN;PCP-PEV;PCTP/MRPP;PND;PNR;PPD/PSD;PPD/PSD-CDS-PP;PPD/PSD-CDS-PP-MPT;PPD/PSD-CDS-PP-MPT-PPM;PPD/PSD-CDS-PP-PPM;PPD/PSD-CDS-PP-PPM-MPT;PPD/PSD-MPT;PPD/PSD-MPT-PPM;PPD/PSD-PPM;PPD/PSD-PPM-MPT;PPM;PPM-PPV;PPM-PPV-PND;PPV;PS;PS-BE-PND-MPT-PTP-PAN;PS-PTP-PND-BE;PTP;Total;Violência doméstica contra cônjuge ou análogos;Furto em veículo motorizado;Furto em residência;Furto em edifício comercial ou industrial
Guimarães;83282.0;1788.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7285.0;496.0;0.0;0.0;0.0;0.0;31174.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;856.0;0.0;0.0;41683.0;0.0;0.0;0.0;3493.0;254.0;239.0;241.0;211.0
Mondim de Basto;4961.0;0.0;0.0;0.0;0.0;1890.0;0.0;0.0;0.0;34.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3008.0;0.0;0.0;0.0;221.0;24.0;4.0;9.0;5.0
Póvoa de Lanhoso;14789.0;0.0;646.0;0.0;0.0;0.0;0.0;0.0;0.0;209.0;0.0;0.0;0.0;7790.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6144.0;0.0;0.0;0.0;715.0;28.0;44.0;36.0;13.0
Vieira do Minho;9771.0;69.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;134.0;0.0;0.0;0.0;0.0;5003.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4565.0;0.0;0.0;0.0;533.0;23.0;13.0;35.0;9.0
Vila Nova de Famalicão;73039.0;1237.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2823.0;0.0;0.0;0.0;0.0;44712.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24267.0;0.0;0.0;0.0;3391.0;320.0;178.0;249.0;179.0
Vizela;12175.0;406.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;616.0;0.0;0.0;0.0;0.0;5046.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6107.0;0.0;0.0;0.0;881.0;47.0;33.0;23.0;35.0
Arouca;13295.0;0.0;726.0;0.0;0.0;0.0;0.0;0.0;0.0;390.0;0.0;0.0;0.0;3931.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8248.0;0.0;0.0;0.0;470.0;18.0;11.0;32.0;7.0
Espinho;17873.0;641.0;460.0;0.0;0.0;0.0;0.0;0.0;0.0;1191.0;0.0;0.0;0.0;8993.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6588.0;0.0;0.0;0.0;946.0;53.0;62.0;69.0;30.0
Gondomar;61370.0;2605.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8850.0;0.0;0.0;0.0;0.0;16114.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33801.0;0.0;0.0;0.0;4100.0;378.0;454.0;235.0;154.0
Maia;51052.0;3412.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4413.0;0.0;0.0;0.0;0.0;28629.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14598.0;0.0;0.0;0.0;4384.0;245.0;485.0;266.0;316.0
Matosinhos;67445.0;2623.0;1409.0;0.0;0.0;0.0;32014.0;0.0;0.0;5396.0;0.0;0.0;0.0;6869.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18629.0;0.0;0.0;505.0;6083.0;420.0;926.0;255.0;236.0
Oliveira de Azeméis;32123.0;702.0;2532.0;0.0;0.0;0.0;0.0;0.0;0.0;977.0;0.0;0.0;0.0;14298.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13614.0;0.0;0.0;0.0;1419.0;152.0;53.0;134.0;37.0
Paredes;43739.0;816.0;1721.0;0.0;0.0;0.0;0.0;0.0;0.0;2983.0;0.0;0.0;0.0;19146.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19073.0;0.0;0.0;0.0;2620.0;203.0;156.0;118.0;120.0
Porto;110596.0;4166.0;0.0;0.0;0.0;0.0;46666.0;0.0;0.0;8539.0;343.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24366.0;0.0;0.0;0.0;0.0;26237.0;0.0;0.0;279.0;15638.0;937.0;2833.0;667.0;509.0
Póvoa de Varzim;27560.0;670.0;4021.0;0.0;0.0;0.0;0.0;0.0;0.0;1054.0;344.0;0.0;0.0;13567.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7904.0;0.0;0.0;0.0;1573.0;162.0;89.0;136.0;77.0
