0,95;0,1;0,33;0,97;0;33;1
0,3;0,1;0,67;0;0;79;2
0,96;0,1;1;0,98;0;97;3
0,33;0,1;0,05;0,67;0;208;1
-0,13;0,1;0,1;0;0,08;1283;2
-0,14;0,1;0,14;0,01;0,59;1646;3
-0,08;0,1;NaN (0,19);0;0,83;1663;4
0,91;0,1;0,07;0,95;0;207;1
0,3;0,1;0,13;0,11;0;3331;2
0,19;0,1;0,2;0,05;0;5416;3
0,11;0,1;0,27;0,02;0;7602;4
1;0,1;0,07;1;0;320;1
0,39;0,1;0,13;0,09;0;2699;2
0,26;0,1;0,2;0,02;0;4101;3
0,22;0,1;0,27;0,01;0;4774;4
0,99;0,1;0,1;0,99;0;513;1
0,3;0,1;0,2;0;0;3596;2
0,23;0,1;0,3;0,01;0;5651;3
0,27;0,1;0,4;0,1;0;6898;4
0,96;0,1;0,17;0,98;0;1575;1
0,33;0,1;0,33;0,05;0;10322;2
0,11;0,1;0,5;0,12;0;16943;3
0,45;0,1;0,67;0,26;0;20695;4
0,89;0,1;0,33;0,94;0;208;1
0,28;0,1;0,67;0,13;0;744;2
0,49;0,1;1;0,74;0,02;892;3
