0,86;0,51;0,17;0,93;0;45;1
0,78;0,51;0,19;0,81;0;112;2
0,51;0,31;0,25;0,41;0;1776;3
0,75;0,51;0,2;0,76;0;160;4
0,23;0,16;0,05;0,62;0;35;1
0,29;0,16;0,05;0,64;0;46;2
0,31;0,11;0,05;0,65;0;91;3
0,38;0,11;0,05;0,69;0;99;4
0,23;0,11;0,05;0,62;0;104;5
0,29;0,16;0,05;0,64;0;44;6
0,22;0,1;0,06;0,49;0,01;1476;7
0,44;0,1;0,17;0,67;0,1;236;1
0,45;0,1;0,17;0,67;0,1;381;2
0,44;0,1;0,17;0,66;0,11;420;3
0,44;0,1;0,17;0,67;0,1;427;4
0,7;0,26;0,1;0,85;0;24;1
0,7;0,26;0,1;0,85;0;39;2
0,7;0,26;0,1;0,85;0;38;3
0,7;0,26;0,1;0,85;0;37;4
0,7;0,26;0,1;0,85;0;37;5
0,87;0,16;0,03;0,93;0;188;1
0,86;0,16;0,03;0,93;0;1429;2
0,53;0,26;0,05;0,42;0;472;3
0,37;0,16;0,05;0,17;0;2996;4
0,52;0,16;0,05;0,4;0;3348;5
0,55;0,16;0,06;0,43;0;3474;6
0,54;0,21;0,05;0,43;0;2028;7
0,6;0,21;0,05;0,51;0;2135;8
0,6;0,16;0,04;0,52;0;4341;9
1;0,46;0,02;1;0;140;1
1;0,46;0,02;1;0;1227;2
1;0,46;0,02;1;0;1776;3
1;0,46;0,02;1;0;2120;4
1;0,46;0,02;1;0;2065;5
1;0,46;0,02;1;0;2101;6
1;0,46;0,02;1;0;2103;7
1;0,46;0,02;1;0;2105;8
1;0,46;0,02;1;0;2008;9
1;0,46;0,02;1;0;2150;10
0,99;0,31;0,05;0,99;0;50;1
0,97;0,31;0,05;0,97;0;223;2
0,95;0,31;0,05;0,94;0;288;3
0,94;0,31;0,05;0,94;0;368;4
0,93;0,36;0,05;0,91;0;204;5
0,97;0,31;0,05;0,96;0;434;6
0,98;0,31;0,05;0,98;0;518;7
0,99;0,11;0,1;0,99;0;112;1
0,72;0,6;0,14;0,6;0;1436;2
0,91;0,11;0,13;0,88;0;516;3
0,57;0,11;0,18;0,45;0;602;4
0,65;0,11;0,15;0,53;0;588;5
0,79;0,31;0,17;0,89;0;41;1
0,82;0,31;0,17;0,91;0;90;2
0,77;0,31;0,18;0,81;0;101;3
0,65;0,31;0,21;0,66;0;110;4
0,88;0,31;0,02;0,94;0;96;1
0,81;0,31;0,02;0,85;0;547;2
0,74;0,31;0,02;0,77;0;771;3
0,74;0,31;0,02;0,76;0;923;4
0,73;0,31;0,02;0,74;0;1002;5
0,73;0,31;0,02;0,72;0;1034;6
0,84;0,31;0,02;0,92;0;1127;7
0,83;0,31;0,02;0,87;0;1113;8
0,73;0,31;0,02;0,76;0;1206;9
0,71;0,26;0,02;0,64;0;2523;10
0,85;0,31;0,02;0,91;0;1083;11
0,84;0,26;0,33;0,92;0;47;1
0,7;0,31;0,38;0,77;0;51;2
0,39;0,31;0,52;0,37;0;60;3
0,73;0,36;0,01;0,87;0;445;1
0,61;0,36;0,01;0,71;0;1717;2
0,5;0,36;0,01;0,49;0;2338;3
0,48;0,36;0,01;0,45;0;2585;4
0,48;0,36;0,01;0,5;0;2738;5
0,53;0,36;0,01;0,53;0;2760;6
0,55;0,36;0,01;0,61;0;2844;7
0,48;0,36;0,01;0,45;0;2854;8
0,51;0,36;0,01;0,52;0;2832;9
0,3;0,41;0,01;0,49;0;968;10
0,47;0,36;0,01;0,44;0;2794;11
0,44;0,36;0,01;0,45;0;3026;12
0,57;0,36;0,01;0,56;0;2997;13
0,52;0,36;0,01;0,52;0;2951;14
0,41;0,41;0,01;0,62;0;1039;15
0,55;0,36;0,01;0,53;0;2788;16
